nome,user_id,ativo,filial_codigo
,user_2ud3Nnx6ynBDILMD08y4JcLtwdr,S,SCS-CL
,user_2ulOyI3KfFQcoaqPECQdqMhFk8q,S,SCS
,user_30XpL2rnx8TaaPCGDcGb2PzUsRJ,N,
,user_30bChwjgsWlyjpaG3oJKYUBpFpw,S,SCS-CL
,user_30bEtLZ4waAMqfhrRhMyqvdTvHZ,N,
,user_31bTaUKLVic2xqqnypjVJTph2Iv,S,SCS
,user_30FHITYH2fwMGWShG09eflZNqtg,N,
,user_2witD2hTD5iA9zFRcoj5RGhLVTJ,S,SCS
,user_2wpDZu4m1vmglCFmDOonVJvqOer,S,VA
,user_3C3RamBH5i15sY212qscAHIjIUn,S,LGS
,user_30bNZQtUofKjvbw64QugKn0ayPX,N,
,user_30bQc4Q2jziy2jA5HPvTJK0nH24,N,
,user_30bSdV5C3Hs2Rv0MaZCIpQ2ENQz,S,SCS
,user_30bjjU8fMiNtEQPrZlFQOssFDTF,N,
,user_30dawS4h9ce01690i3LfTI6WTiJ,S,SCS
,user_30dfRi6ZbDSv0Ewq4FvMxIgOqyW,S,SCS
,user_30bOMgp4Z01CtRzjzPfULBAxuoA,N,
,user_30ZP83sjzaks20FlrWJNVhtuHK4,S,SCS
,user_30bHOrK5ULDkszADiCpHOT65Gdn,N,
,user_30bEWTB7zS2hO4lyUmsWAt7qP9u,S,CAC
,user_30bC5sOXMKzo6Zh4OXQ4uxoSktQ,S,SCS-CL
,user_30cAfjDDtmOEgDFKTPTgnpIIdxN,S,SCS
,user_30cJZK3qW1O59CAbBFwJMw6H2iE,S,SCS
,user_30dcmgdNnJfYhnQk3sj7E3NP5ZU,N,
,user_30denUT0hRFsMvsbaQesk2gSnLw,N,
,user_30bkOt2UU0svZ0Bj7b5D49kPnHb,N,
,user_30eYynIWOmP1S71A1GKwxg2tx1Z,N,
,user_30bpZET2aLPP99id0RZdWnaAKuB,N,
,user_30dniscAjHyxi8PkFufNsYgk9Ot,S,SCS-CL
,user_30bt3iQ8G6LnKItFuohWXEmNe4b,S,SCS-CL
,user_30bjXmyU5Y1Wsd5HISU6ikfWJS8,S,SCS-CL
,user_30dZNwuqawU6eh6s8YteOtbl0Rd,N,
,user_30c1OjmxnlCt9CLJHOvq8KGYtPv,N,
,user_30eIOmYlMEFE2KsqYxEGOjHENYy,N,
,user_30eUwGtABXilRL8UrpEAKHX4LOY,S,SCS
,user_30eh7BxwkAdZqwFLIfGzDPxWeKr,N,
,user_30f1ndehLaPwDTix1vX6GJFw8od,S,SCS
,user_30fAUkXd4MsptYvkpFfWaRX5itp,S,SCS
,user_30gN2d8mk7Sfh7eZAf8roq0HHrz,S,SCS
,user_30eaYrsjXm0yp6zOIqt3nbY4PCt,N,
,user_30drt0c8JikKLC0bZ2ZrQwfFCKB,S,SCS
,user_30fMp3jtSX2XCbkwzIpAzcBc1Hw,N,
,user_30eBJp2lCbU5kptbZpFYV6KMZkd,S,SCS
,user_30eG507bOdGG8qIBflLuPSy5neT,S,SCS
,user_30eaafsHHECsGGM6TfeGqcUL55k,S,CAC
,user_30eC2MDF0sCKkVHqfGDZ3IF0jp8,N,
,user_30m65mmVh2CXmknRrf29G532b7R,S,SCS
,user_30nl69mHd9G1s5OcXI6iGU3TSwa,S,SCS
,user_30oVbRMu2s0wozWabs7a9GIcQXC,S,SCS
,user_30pA9TVU5yLf115xRQqRKivJRsF,S,SCS
,user_30oyetw2yrIH5po0RUFFoSFC0vs,S,SCS
,user_30ngCOcTtGdaxwNU4DIdpB6rh7o,N,
,user_30nedGDNyZfAUZ2vEahkl3BkIoX,N,
,user_30nfUAlHe6pfkikuJW8UrxDyu0N,N,
,user_30oPSvUWq1QHY7C6VafIK3OuNc8,S,SCS
,user_30de41PEvGZSsv82kvNpfikvOsp,S,SCS
,user_30eBMoeB5fiUKeXVJFoV9VZYhlS,S,SCS
,user_30xVQhJwRxBLychKQfJg9IFuRAt,S,SCS
,user_319CXfwrouU9WWRoTZIAGeIwkX3,N,
,user_31BUBYapMe6AJuGsiEVO4ziI5rj,S,SCS
,user_31avzK1CbLV8Tdt89bDxreeJdYZ,N,
,user_31bpHCu4Mgw7HLv3j8ibWJGosa8,N,
,user_31df5LuV1ZNin5mWVr9w2yqwXl3,N,
,user_30bRkddHVo0XTDiTuH54nh4ghmh,S,SCS
,user_30sCCU8tq0tSeB6LloA0NRPOJrR,N,
,user_30nlNoHd30G2PgQNwDFuXdUz1dL,S,SCS
,user_30mhiwGvDOLQaqcBKOMrLhmiXVn,S,CAC
,user_30gS355D4XQPQ6jQiRr8oE5I1Dz,S,SCS
,user_30n5urPYL7Wf30d8GSTGLvsK5MV,S,SCS
,user_3AUGX2KRiHR6QBUvPVyA7FxVRUd,S,SCS
,user_2wmOesOYjlCNcV3yXwLrgEfD2xs,S,SCS-CL
,user_2wmn4CKgKsTfkYwNy0GYGstBun8,S,SCS
,user_2zbcrHw1JV9L27EI6OxKtI8NDIR,S,SCS
,user_310BhVWrvzD7q65lW7ziFlqNDlp,S,VA
,user_31dehGVsxOk2LJ1RK8zDcTBTgBI,N,
,user_30cGh5okvurZ436xREABxbUmpqq,N,
,user_2udAjutEPM6Ali0zXrjjLhyUaV8,S,SCS
,user_31vQIDL99LqefA3NGklKfe3h0e0,S,SCS
,user_30bLlxkRRg8Ic8VX97QSzvWY3uJ,S,VA
,user_31NB7P6sqonWgFDNJo7tUeXlHKm,N,
,user_31pVShYla0lPVGaVngq8rIsa4gr,N,
,user_2uAZXYgyYaYvsnBYCivo7Hymjvb,S,SCS
,user_3C30DsoTBtu15djmY82DH5OAcPh,S,LGS
,user_33PyiCqGEkKJ0T8tzYf8nAH5Lks,N,
,user_33Q7CaN3Fh6ooVGRUP9samqa9qK,S,CAC
,user_2uAlKs4bPTcxkQQrOHT9xwbWbKk,S,SCS
,user_2wziG9yf9H8E5d0rcZwnTKoHT8V,S,CAC
,user_3C35K3DPkDfoIAcigYxPCBmcETt,S,LGS
,user_30f0vVD6BXH9KCHapudCuFp86CO,N,
,user_2wgCvREt8dxhmb500VkY2YhdtfL,N,
,user_33IoLC5MumCSDEW9dZWNiMVOdFU,S,CAC
,user_30fMUly6k7CZHHUvDuSBhFjq6Ot,S,CAC
,user_2tga33kdUKetvI4yQF3VtQP2CD6,S,SCS-CL
,user_30fM7wFHFi2jOHObmJVdXvHA1AG,S,CAC
,user_30dgZ8LNfnvhpBjO2ard0wIi0iV,S,VA
,user_31A8fax4XtIaqFSHHodxIcwLSyb,N,
,user_2wmZUKaCmVuiPFjONN8mzG01CtQ,N,
,user_2zcNQrU0lVQyTcQUYmvXptQRlO3,N,
,user_2zfCvO0FRByI84U48mH6OEwIPwA,N,
,user_30ngofCZAbYw0nfIgTYsQdZMd44,S,CAC
,user_30fKW9GxRBTkwvVMb5QS05zjaTM,S,CAC
,user_2wp2orA1PeNhF3oJ5Y1sFT2X3pS,S,SCS
,user_2zSM64GhzNvVkIWfIDNqXfGnuid,S,CAC
,user_34jpnqL7HPMyBXhRG2gkrVcO9MD,S,SCS
,user_34yUzsIKF2dbBdr6YaR4Qx8Ry0P,S,CAC
,user_34RSbSUv6KxgBkrFaxbLBVEScFh,N,
,user_34n1J9UJoRr3r2FFhscSBg37jYw,S,CAC
,user_34yV0CQns38Paz3uQe7GgFuk6yl,N,
,user_34jqTveRtBcydhXc9zlhXGEGp2t,S,SCS
